yday,1998-W,1999-W,2000-AN,2001-D,2002-D,2003-AN,2004-BN,2005-AN,2006-W,2007-D,2008-C,Synthesis
182,1609.943999,969.2229997,1153.54,1109.655,1381.742,1206.202,1118.432,4128.942999,2329.657999,709.4237998,733.1216998,1408.0075
183,1522.174,871.7982997,1056.993,1021.885,1460.735,1311.526,1074.547,3251.242999,2917.716999,750.6756998,641.8408998,1375.6898
184,1408.073,809.4815997,995.5539997,1056.993,1574.835999,1223.756,1074.547,2794.838999,2373.542999,765.5965998,593.5673998,1378.1395
185,1662.605999,787.5390997,1074.547,995.5539997,1759.152999,1065.77,934.1149997,2584.190999,7297.439998,713.8122998,557.5816998,1451.1196
186,1785.483999,747.1648998,1329.08,766.4742998,2013.685999,1021.885,925.3379997,2417.427999,10544.93,723.4669998,559.3370998,1445.4342
187,1671.382999,774.3735998,1539.728,621.6537998,2040.016999,1004.331,1118.432,2373.542999,7762.620997,723.4669998,647.1070998,1415.3566
188,1627.497999,784.0282997,1697.713999,541.7830998,1627.497999,934.1149997,1214.979,2180.448999,5024.196998,741.8986998,703.2798998,1450.3729
189,1574.835999,773.4958998,1487.066,505.7973998,1609.943999,852.4888997,1267.641,1996.131999,3900.740999,934.1149997,731.3662998,1461.9009
190,1478.289,899.0069997,1364.188,606.7328998,1583.612999,925.3379997,1109.655,2268.218999,3786.639999,877.0644997,734.8770998,1378.8993
191,1399.296,951.6689997,1390.519,554.9485998,1636.274999,1083.324,1179.871,2689.514999,3137.141999,847.2226997,692.7474998,1294.0506
192,1381.742,886.7191997,1320.303,488.2433998,1609.943999,1144.763,1223.756,3593.545999,2961.601999,809.4815997,623.4091998,1313.0456
193,1372.965,960.4459997,1241.31,462.7900999,1653.828999,1197.425,1206.202,1864.476999,3014.263999,706.7906998,561.0924998,1540.2782
194,1372.965,1048.216,1311.526,453.1353999,1627.497999,1451.958,1144.763,2040.016999,3909.517999,674.3157998,629.5530998,1430.6967
195,1662.605999,1135.986,1346.634,503.1642998,1618.720999,2663.183999,1127.209,2347.211999,3751.531999,608.4882998,807.7261997,1400.6322
196,1908.361999,1329.08,2066.347999,458.4015999,1750.375999,2303.326999,1162.317,1961.023999,3628.653999,589.1788998,1056.993,1427.2121
197,1662.605999,1434.404,1934.692999,454.8907999,2162.894999,1750.375999,1013.108,1803.037999,3856.855999,608.4882998,1302.749,1406.9071
198,1495.843,1451.958,1337.857,463.6677999,1364.188,1478.289,925.3379997,1855.699999,5050.527998,546.1715998,1109.655,1375.5981
199,1434.404,1627.497999,1109.655,503.1642998,1144.763,1346.634,815.6254997,1574.835999,4681.893998,523.3513998,890.2299997,1396.8856
200,1443.181,1811.814999,1372.965,615.5098998,1004.331,1311.526,712.0568998,1890.807999,3567.214999,550.5600998,826.1578997,1413.575
201,1530.951,1934.692999,1469.512,712.9345998,862.1435997,1258.864,647.9847998,2004.908999,3023.040999,517.2074998,1013.108,1370.083
202,1680.159999,2013.685999,1109.655,1004.331,807.7261997,1267.641,602.3443998,1811.814999,2882.608999,473.3224998,1188.648,1354.3237
203,1978.577999,1952.246999,977.9999997,1092.101,757.6972998,1346.634,704.1575998,1592.389999,2970.378999,468.9339999,1013.108,1345.2847
204,2487.643999,1715.267999,1013.108,1039.439,825.2801997,1293.972,822.6470997,577.7687998,3181.026999,787.5390997,809.4815997,1369.5066
205,2856.277999,1495.843,1171.094,942.8919997,899.0069997,1144.763,754.1864998,1504.62,2900.162999,834.9348997,712.0568998,1376.0959
206,2803.615999,1460.735,1074.547,925.3379997,977.9999997,1434.404,704.1575998,2233.110999,2952.824999,804.2153997,707.6683998,1396.7808
207,2338.434999,1583.612999,1048.216,1100.878,1127.209,1785.483999,722.5892998,1171.094,3023.040999,969.2229997,648.8624998,1399.6366
208,2075.124999,1873.253999,1013.108,1337.857,1258.864,1917.138999,820.0139997,1609.943999,3435.559999,942.8919997,599.7112998,1370.9083
209,2145.340999,1925.915999,1118.432,1522.174,1179.871,1680.159999,995.5539997,1566.058999,3742.754999,925.3379997,703.2798998,1365.0002
210,2391.096999,1548.504999,1267.641,1487.066,995.5539997,1803.037999,1162.317,1609.943999,4304.482999,977.9999997,1048.216,1516.5803
211,2636.852999,1302.749,1478.289,1302.749,874.4313997,1917.138999,1293.972,1882.030999,4655.562998,1030.662,1416.85,1535.3133
212,2794.838999,1179.871,1197.425,1100.878,899.0069997,1820.591999,1153.54,1653.828999,4743.332998,1021.885,1513.397,1483.8958
213,2865.054999,1346.634,1092.101,1065.77,812.9923997,1706.490999,951.6689997,1504.62,4365.921999,925.3379997,1250.087,1568.849299
214,3672.538999,1653.828999,1232.533,1276.418,755.0641998,1627.497999,969.2229997,1574.835999,3848.078999,960.4459997,1013.108,1525.3966
215,3514.552999,1627.497999,1311.526,1258.864,812.1146997,1969.800999,1039.439,1451.958,3514.552999,1074.547,951.6689997,1508.4452
216,2961.601999,1390.519,1311.526,942.8919997,986.7769997,2900.162999,1171.094,1487.066,3040.594999,861.2658997,942.8919997,1508.026
217,2584.190999,1250.087,1267.641,828.7909997,1162.317,2320.880999,1241.31,1583.612999,2926.493999,816.5031997,1030.662,1517.6152
218,2733.399999,1364.188,1302.749,865.6543997,1250.087,2083.901999,1276.418,1548.504999,2803.615999,721.7115998,977.9999997,1484.0792
219,2382.319999,1715.267999,1250.087,942.8919997,1311.526,1855.699999,1171.094,2031.239999,2768.507999,715.5676998,1267.641,1490.1183
220,2610.521999,1741.598999,1083.324,969.2229997,1241.31,1978.577999,995.5539997,1618.720999,2935.270999,826.1578997,1443.181,1506.3885
221,2724.622999,1566.058999,2847.500999,1109.655,1153.54,1767.929999,916.5609997,1566.058999,2935.270999,863.8989997,1372.965,1513.7638
222,2338.434999,1478.289,2136.563999,1214.979,1092.101,1548.504999,899.0069997,3628.653999,2628.075999,850.7334997,1241.31,1487.0136
223,1899.584999,1487.066,1416.85,1092.101,916.5609997,1504.62,827.0355997,2294.549999,2645.629999,830.5463997,1162.317,1428.4435
224,1794.260999,1776.706999,1092.101,1039.439,925.3379997,1574.835999,748.9202998,1855.699999,2856.277999,792.8052997,1223.756,1403.5928
225,1785.483999,2066.347999,907.7839997,1030.662,1065.77,1838.145999,666.4164998,1706.490999,2742.176999,746.2871998,1250.087,1396.1127
226,1715.267999,1688.936999,811.2369997,907.7839997,1153.54,2171.671999,598.8335998,1829.368999,2733.399999,662.0279998,1083.324,1387.0082
227,1592.389999,1372.965,758.5749998,820.0139997,1214.979,2329.657999,612.8767998,2171.671999,2733.399999,631.3084998,995.5539997,1433.8145
228,1653.828999,1311.526,916.5609997,709.4237998,1214.979,2276.995999,630.4307998,2382.319999,2891.385999,629.5530998,1425.627,1421.2254
229,1530.951,1390.519,1092.101,1013.108,1214.979,1961.023999,625.1645998,4594.123999,3005.486999,618.1429998,1688.936999,1573.932099
230,1408.073,1636.274999,995.5539997,817.3808997,1293.972,1899.584999,632.1861998,3128.364999,2970.378999,569.8694998,1513.397,1542.086
231,1513.397,1732.821999,986.7769997,669.9272998,1250.087,1767.929999,607.6105998,3374.120999,2891.385999,532.1283998,1399.296,1640.401499
232,1706.490999,1794.260999,1056.993,590.9342998,1100.878,1759.152999,552.3154998,12388.1,2584.190999,504.0419998,1293.972,1742.725599
233,1715.267999,1767.929999,1188.648,537.3945998,1004.331,1961.023999,525.9844998,6946.359998,2294.549999,482.0994998,1048.216,1567.015299
234,1460.735,2040.016999,1250.087,498.7757998,816.5031997,2198.002999,503.1642998,4488.799999,2312.103999,447.8691999,1092.101,1475.1581
235,1583.612999,2355.988999,1311.526,464.5454999,784.9059997,2364.765999,490.8764998,3470.667999,2040.016999,399.5956999,813.8700997,1436.8144
236,1487.066,2575.413999,1267.641,433.8259999,786.6613997,2461.312999,484.7325998,3400.451999,1706.490999,365.3653999,622.5314998,1394.2001
237,2610.521999,2838.723999,1917.138999,405.7395999,812.1146997,2268.218999,471.5670999,3066.925999,1882.030999,355.7106999,591.8119998,1413.6405
238,2294.549999,2733.399999,1425.627,360.9768999,890.2299997,1925.915999,456.6461999,2803.615999,1724.044999,351.3221999,651.4955998,1370.2533
239,1697.713999,2540.305999,1135.986,326.7465999,916.5609997,1943.469999,438.2144999,2952.824999,1530.951,345.1782999,677.8265998,1321.6654
240,1627.497999,2312.103999,995.5539997,296.0270999,951.6689997,2259.441999,439.9698999,2926.493999,1293.972,340.7897999,653.2509998,1284.3304
241,1969.800999,2075.124999,907.7839997,268.8183999,1004.331,2162.894999,575.1356998,2803.615999,1109.655,322.3580999,566.3586998,1225.8258
242,1697.713999,1636.274999,848.1003997,251.2643999,1048.216,2066.347999,619.0206998,2215.556999,1074.547,303.9263999,512.8189998,1153.7365
