Site,Year,WYT,Time,County,Trib,TribName,REG,obs_strt,obs_end,estim_strt,estim_end,Tot_E_Obs,Sierra_Coast,SourceNotes
SFBay,1917,AN,12:00,ALAMEDA,N,,U,3/28/17,4/9/17,3/28/17,4/9/17,,C,Storer 1925
SFBay,1923,BN,12:00,ALAMEDA,N,,U,5/5/23,,5/5/23,,,C,Storer 1925
SFEEL,1990,C,12:00,MENDOCINO,N,,U,4/24/90,5/13/90,4/24/90,5/13/90,,C,Kupferberg_etal2012
SFEEL,1991,C,12:00,MENDOCINO,N,,U,4/24/91,,4/24/91,,,C,Kupferberg_etal2012
TRINITY,1991,C,12:00,TRINITY,N,,R,5/1/91,6/10/91,5/1/91,6/10/91,,C,Lindetal1997_1991-1994
SFEEL,1992,C,12:00,MENDOCINO,N,,U,4/25/92,,4/25/92,,,C,Kupferberg_etal2012
Clear Ck,1992,C,12:00,BUTTE,Y,ClearCk-YU,U,4/26/92,5/10/92,4/26/92,5/10/92,,S,VanWagner2008
SFEEL,1993,AN,12:00,MENDOCINO,N,,U,4/30/93,,4/30/93,,,C,Kupferberg_etal2012
Clear Ck,1993,AN,12:00,BUTTE,Y,ClearCk-YU,U,4/14/93,5/15/93,4/14/93,5/15/93,,S,VanWagner2008
Hunter Ck,1993,AN,12:00,TUOLUMNE,Y,HunterCk-STAN,U,7/13/93,,7/1/93,,,S,Stan_USFS-HunterCk
SFEEL,1994,C,12:00,MENDOCINO,N,,U,4/11/94,,4/11/94,,,C,Kupferberg_etal2012
Clear Ck,1994,C,12:00,BUTTE,Y,ClearCk-YU,U,4/16/94,5/12/94,4/16/94,5/12/94,,S,VanWagner2008
SFEEL,1995,W,12:00,MENDOCINO,N,,U,5/3/95,,5/3/95,,,C,Kupferberg_etal2012
SFEEL,1996,W,12:00,MENDOCINO,N,,U,4/28/96,,4/28/96,,,C,Kupferberg_etal2012
SFEEL,1997,W,12:00,MENDOCINO,N,,U,4/24/97,,4/24/97,,,C,Kupferberg_etal2012
SFEEL,1998,W,12:00,MENDOCINO,N,,U,4/27/98,,4/27/98,,,C,Kupferberg_etal2012
SFEEL,1999,W,12:00,MENDOCINO,N,,U,4/22/99,,4/22/99,,,C,Kupferberg_etal2012
SFEEL,2000,AN,12:00,MENDOCINO,N,,U,5/8/00,,5/8/00,,,C,Kupferberg_etal2012
SFEEL,2001,D,12:00,MENDOCINO,N,,U,4/19/01,,4/19/01,,,C,Kupferberg_etal2012
Camp Ck,2001,D,12:00,AMADOR,Y,CampCk-COS,U,5/15/01,7/13/01,5/15/01,7/13/01,,S,ElDorado_USFS
Rose Ck,2001,D,12:00,TUOLUMNE,Y,RoseCk-STAN,U,5/17/01,5/23/01,5/17/01,5/23/01,,S,Stan_USFS-RoseCk
NF Tuo,2001,D,12:00,TUOLUMNE,Y,NFTuo,R,5/31/01,,5/31/01,,,S,Stan_USFS
Clavey,2001,D,12:00,TUOLUMNE,Y,Clavey,R,6/18/01,,6/18/01,,,S,Stan_USFS
SFEEL,2002,D,12:00,MENDOCINO,N,,U,4/17/02,,4/17/02,,,C,Kupferberg_etal2012
HurdyGurdy Ck,2002,D,12:00,DELNORTE,Y,HurdyGurdy-SMITH,U,4/7/02,6/17/02,4/7/02,6/17/02,,C,Wheeler&Welsh_2002-2007
ALAM,2002,D,12:00,ALAMEDA,N,,R,3/25/02,,3/25/02,,,C,Kupferberg_2012
NFMOK,2002,D,12:00,AMADOR,N,,R,5/15/02,7/13/02,5/15/02,7/13/02,,S,ElDorado_USFS
NFMOK,2003,AN,12:00,AMADOR,N,,R,5/15/03,7/13/03,5/15/03,7/13/03,,S,ElDorado_USFS
SFEEL,2003,AN,12:00,MENDOCINO,N,,U,5/13/03,,5/13/03,,,C,Kupferberg_etal2012
SFA,2003,AN,12:00,ELDORADO,N,,R,6/11/03,6/25/03,6/11/03,6/25/03,,S,Stillwater-SMUD
MOK,2003,AN,12:00,AMADOR,N,,R,7/8/03,,7/8/03,,,S,ElDorado_USFS
COYCk,2004,BN,12:00,SANTACLARA,Y,,U,3/7/04,4/20/04,3/7/04,4/20/04,,C,Gonsolin 2010
SFEEL,2004,BN,12:00,MENDOCINO,N,,U,4/15/04,,4/15/04,,,C,Kupferberg_etal2012
NFF,2004,BN,12:00,BUTTE,N,,R,4/18/04,,4/18/04,,,S,Poe-Cresta from GANDA-PCWA2008
SFA,2004,BN,12:00,ELDORADO,N,,R,5/15/04,7/13/04,5/15/04,7/13/04,,S,ElDorado_USFS
SFF,2004,BN,12:00,BUTTE,N,,R,5/27/04,6/17/04,5/27/04,6/17/04,,S,Stillwater-SFWP
COYCk,2005,AN,12:00,SANTACLARA,Y,,U,3/12/05,5/16/05,3/12/05,5/16/05,,C,Gonsolin 2010
MOK,2005,AN,12:00,AMADOR,N,,R,5/31/05,6/30/05,5/31/05,6/30/05,,S,ElDorado_USFS
ALAM,2005,AN,12:00,ALAMEDA,N,,R,5/1/05,,5/1/05,,,C,CEC-2009_Kupferberg
SFF,2005,AN,12:00,BUTTE,N,,R,6/1/05,6/22/05,6/1/05,6/22/05,,S,Stillwater-SFWP
Rose Ck,2005,AN,12:00,TUOLUMNE,Y,RoseCk,U,6/1/05,,6/1/05,,,S,Stan_USFS-RoseCk
SFEEL,2005,AN,12:00,MENDOCINO,N,,U,4/28/05,,4/28/05,,,C,Kupferberg_etal2012
COYCk,2006,W,12:00,SANTACLARA,Y,,U,3/9/06,,3/9/06,,,C,Gonsolin 2010
ALAM,2006,W,12:00,ALAMEDA,N,,R,4/17/06,,4/17/06,,,C,Kupferberg_2012
SFEEL,2006,W,12:00,MENDOCINO,N,,U,4/29/06,,4/29/06,,,C,Kupferberg_etal2012
NFF,2006,W,12:00,BUTTE,N,,R,6/5/06,,6/5/06,,,S,Cresta-PG&E
BUTTE,2006,W,12:00,BUTTE,N,,R,6/5/06,6/30/06,6/5/06,6/30/06,,S,Stillwater-DeSabla
SFEEL,2007,D,12:00,MENDOCINO,N,,U,4/1/07,,4/1/07,,,C,Kupferberg_etal2012
NFF,2007,D,12:00,BUTTE,N,,R,5/12/07,,5/12/07,,,S,Cresta from GANDA-PCWA2008
PIT,2007,D,12:00,SHASTA,N,,R,4/2/07,,4/2/07,,,S,Pit PCWA2008
MFA,2007,D,12:00,PLACER,Y,,R,,,5/10/07,6/5/07,,S,PCWA
MFA-Trib,2007,D,12:00,PLACER,Y,GasCanyon,R,5/11/07,,5/11/07,,,S,Gas Canyon PCWA2008-YOY obs as early as 8/20 in AmCnyn to 9/24
SFEEL,2008,C,12:00,MENDOCINO,N,,U,4/13/08,,4/13/08,,,C,Kupferberg_etal2012
McCLD,2008,C,12:00,SHASTA,N,,R,5/8/08,5/28/08,5/8/08,5/28/08,,S,Stillwater-McCloud
BEAR,2008,C,12:00,NEVADA,N,,R,5/20/08,6/24/08,5/20/08,6/24/08,,S,Yuba-Bear
MFA-Trib,2009,D,12:00,PLACER,Y,AmGasSkunk,R,5/1/09,,5/1/09,,,S,Peek_estim
SFEEL,2009,D,12:00,MENDOCINO,N,,U,4/12/09,,4/12/09,,,C,Kupferberg_etal2012
NFF,2009,D,12:00,BUTTE,N,,R,4/14/09,,4/14/09,,,S,Cresta PG&E
NFF,2009,D,12:00,BUTTE,N,,R,5/12/09,6/19/09,5/12/09,6/19/09,50,S,Bondi
RUB,2009,D,12:00,PLACER,N,RUB-US,U,5/21/09,6/24/09,5/21/09,6/24/09,24,S,Bondi
MFY,2009,D,12:00,SIERRA,N,,R,6/2/09,6/17/09,6/2/09,6/17/09,24,S,Bondi
Clavey,2009,D,12:00,TUOLUMNE,Y,Clavey,R,6/16/09,6/22/09,6/16/09,6/22/09,7,S,Bondi
BEAR,2009,D,12:00,NEVADA,N,,R,6/3/09,6/19/08,6/1/09,6/25/09,,S,Yuba-Bear
NFMFA,2009,D,12:00,PLACER,N,,U,5/25/09,,5/25/09,,13,S,Bondi
NFA,2009,D,12:00,PLACER,N,,U,6/5/09,,6/5/09,,14,,Bondi
MFF,2009,D,12:00,BUTTE,N,,R,6/1/09,,6/1/09,,10,,Bondi
SFA,2009,D,12:00,PLACER,N,,R,6/18/09,,6/18/09,,5,S,UCD
SFEEL,2010,BN,12:00,MENDOCINO,N,,U,5/4/10,,5/4/10,,,C,Kupferberg et al 2012 supplemental
Soda Ck,2010,BN,12:00,MENDOCINO,Y,SodaCk-SF Eel,U,4/25/10,,4/25/10,,,C,Peek_unpub
Todd Ck,2010,BN,12:00,PLACER,Y,ToddCk,R,5/15/10,,5/15/10,,,S,Peek
RUB,2011,W,12:00,PLACER,N,,R,5/31/11,6/6/11,5/26/11,6/6/11,,S,UCD
ALAM,2011,W,12:00,ALAMEDA,N,,R,4/1/11,4/20/11,4/1/11,4/20/11,,C,Peek
Am Canyon Ck,2011,W,12:00,PLACER,Y,AmCanyon,R,6/1/11,,6/1/11,,,S,UCD
