id,datetime,baropressure,filename,site,airtemp
1,02/06/15 12:00 PM,27.54,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0001.JPG,NFY,10
2,02/06/15 01:00 PM,27.54,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0002.JPG,NFY,9
3,02/06/15 02:00 PM,27.50,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0003.JPG,NFY,6
4,02/06/15 03:00 PM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0004.JPG,NFY,5
5,02/06/15 04:00 PM,27.43,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0005.JPG,NFY,5
6,02/06/15 05:00 PM,27.41,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0006.JPG,NFY,4
7,02/06/15 06:00 PM,27.44,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0007.JPG,NFY,5
8,02/06/15 07:00 PM,27.41,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0008.JPG,NFY,5
9,02/06/15 08:00 PM,27.41,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0009.JPG,NFY,5
10,02/06/15 09:00 PM,27.43,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0010.JPG,NFY,6
11,02/06/15 10:00 PM,27.42,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0011.JPG,NFY,6
12,02/06/15 11:00 PM,27.41,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0012.JPG,NFY,6
13,02/07/15 12:00 AM,27.41,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0013.JPG,NFY,6
14,02/07/15 01:00 AM,27.41,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0014.JPG,NFY,7
15,02/07/15 02:00 AM,27.47,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0015.JPG,NFY,8
16,02/07/15 03:00 AM,27.51,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150522\PICT0016.JPG,NFY,8
