id,datetime,baropressure,filename,site,airtemp
1,08/19/14 11:00 AM,27.44,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0001.JPG,NFY,24
2,08/19/14 12:00 PM,27.41,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0002.JPG,NFY,25
3,08/19/14 01:00 PM,27.40,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0003.JPG,NFY,28
4,08/19/14 02:00 PM,27.39,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0004.JPG,NFY,29
5,08/19/14 03:00 PM,27.38,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0005.JPG,NFY,30
6,08/19/14 04:00 PM,27.36,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0006.JPG,NFY,30
7,08/19/14 05:00 PM,27.36,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0007.JPG,NFY,30
8,08/19/14 06:00 PM,27.37,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0008.JPG,NFY,27
9,08/19/14 07:00 PM,27.37,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0009.JPG,NFY,26
10,08/19/14 08:00 PM,27.39,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0010.JPG,NFY,23
11,08/19/14 09:00 PM,27.42,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0011.JPG,NFY,21
12,08/19/14 10:00 PM,27.44,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0012.JPG,NFY,19
13,08/19/14 11:00 PM,27.45,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0013.JPG,NFY,18
14,08/20/14 12:00 AM,27.46,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0014.JPG,NFY,16
15,08/20/14 01:00 AM,27.47,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0015.JPG,NFY,15
16,08/20/14 02:00 AM,27.47,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0016.JPG,NFY,14
17,08/20/14 03:00 AM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0017.JPG,NFY,13
18,08/20/14 04:00 AM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0018.JPG,NFY,12
19,08/20/14 05:00 AM,27.47,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0019.JPG,NFY,12
20,08/20/14 06:00 AM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0020.JPG,NFY,11
21,08/20/14 07:00 AM,27.49,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0021.JPG,NFY,11
22,08/20/14 08:00 AM,27.49,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0022.JPG,NFY,11
23,08/20/14 09:00 AM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0023.JPG,NFY,17
24,08/20/14 10:00 AM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0024.JPG,NFY,22
25,08/20/14 11:00 AM,27.48,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0025.JPG,NFY,24
26,08/20/14 12:00 PM,27.47,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0026.JPG,NFY,27
27,08/20/14 01:00 PM,27.47,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0027.JPG,NFY,27
28,08/20/14 02:00 PM,27.46,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0028.JPG,NFY,28
29,08/20/14 03:00 PM,27.45,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0029.JPG,NFY,28
30,08/20/14 04:00 PM,27.46,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0030.JPG,NFY,28
31,08/20/14 05:00 PM,27.45,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0031.JPG,NFY,27
32,08/20/14 06:00 PM,27.46,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0032.JPG,NFY,26
33,08/20/14 07:00 PM,27.46,X:\sierra\Long_Term_Monitoring\American Yuba Rivers\photos\NFYuba\TimeLapse\20150206\PICT0033.JPG,NFY,24
