STA_ID,Station_Name,Elevation,Latitude,Longitude,Nearby_City,HydroID,BasinID,Owner,Maintenance,Operator,MapID,CollectID,County,Basin,Agency,HydroArea,Sensors
130,SAN JOAQUIN R - MONITORING WELL #130,130,36.9982,-120.5149,DOS PALOS,6,9001, , ,50,30,2,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"14,25,100,170"
142,SAN JOAQUIN R - MONITORING WELL #142,100,37.1861,-120.6829,LOS BANOS,6,9001, , ,50,24,2,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"14,25,100,170"
07K,19N2E07K2-4M HARRIS RD NR RICHVALE,93,39.511768,-121.787979,RICHVALE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"14,186,187,188,190,100,000"
13L,21N1E13L2-4M CHICO UNIV FARM,151,39.673446,-121.814422,CHICO,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"14,186,187,188,190,100,000"
3LK,THREE LAKES,6250,39.973,-121.213,BUCKS LAKE,5,7301, , ,62,13,0,PLUMAS,FEATHER R,Pacific Gas and Electric Company,SACRAMENTO RIVER,"3,18,82"
3RV,THREE RIVERS PH NO 1,1140,36.467,-118.867,VISALIA,7,9501, , ,69,32,0,TULARE,KAWEAH R,Southern California Edison Company,TULARE LAKE,2
49B,SJRRP MW-09-49B,171,36.7712,-120.2702,FIREBAUGH,6,9001, , ,50,29,2,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"14,25,100,170"
5SI,SAN JOAQUIN 5-STATION PRECIP INDEX,0,37.74,-119.583,,6,9001, , ,700,24,0,none specified,SAN JOAQUIN R,CA Dept of Water Resources/Flood Management,SAN JOAQUIN RIVER,"2,45"
6SI,TULARE PRECIPITATION INDEX,0,36.288,-118.702,PORTERVILLE,7,9801, , ,702,31,6,TULARE,TULARE LAKE,CA Dept of Water Resources/Snow Surveys,TULARE LAKE,"2,45"
8SI,NORTHERN SIERRA 8-STATION PRECIP INDEX,0,39.9,-120.9,,5,6501, , ,700,14,0,PLUMAS,SACRAMENTO R,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,"2,45"
8SM,8 STATION PRECIP INDEX (DWR-2),0,39.9,-120.9, ,5,6501, , ,700,14,0,PLUMAS,SACRAMENTO R,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,"2,45"
ABA,ARROYO DEL HAMBRE,800,37.977,-122.178,MARTINEZ,2,2001, , ,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16
ABJ,A&B CANAL NR JOHNSTONVILLE,4110,40.3639,-120.5333,JOHNSTONVILLE,8,10401, , ,1,10,0,LASSEN,SUSAN R,CA Dept of Water Resources,NORTH LAHONTAN,"1,14,20"
ABN,LAKE AUDRAIN,7300,38.82,-120.037,MEYERS,5,7701, , ,14,18,0,EL DORADO,AMERICAN R,Placerville Ranger District,SACRAMENTO RIVER,"3,18,82"
ABR,AUBERRY 2 NW,2090,37.083,-119.5,AUBERRY,6,9001, , ,40,25,0,FRESNO,SAN JOAQUIN R,National Weather Service,SAN JOAQUIN RIVER,2
ABY,ABBEY,5650,39.955,-120.538,PORTOLA,5,7301, , ,2,14,0,PLUMAS,FEATHER R,CA Dept of Water Resources,SACRAMENTO RIVER,"3,18,82"
