Serial_number:,,,,
1024351,,,,
Project ID:,,,,
CWS,,,,
Location:,,,,
NFA-Barologger,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Altitude: 360.000000 m,,,,
Temperature,,,,
UNIT: Deg C,,,,
Date,Time,ms,Level,Temperature
12/10/14,9:00:00,0,0.8801,8.413
12/10/14,9:15:00,0,0.8794,8.011
12/10/14,9:30:00,0,0.8775,8.061
12/10/14,9:45:00,0,0.8722,8.264
12/10/14,10:00:00,0,0.8677,8.531
12/10/14,10:15:00,0,0.8728,8.782
12/10/14,10:30:00,0,0.8628,9.13
12/10/14,10:45:00,0,0.8613,9.564
12/10/14,11:00:00,0,0.8555,9.943
12/10/14,11:15:00,0,0.8572,10.45
12/10/14,11:30:00,0,0.8537,10.802
12/10/14,11:45:00,0,0.8525,11.208
12/10/14,12:00:00,0,0.8518,11.958
12/10/14,12:15:00,0,0.8524,12.485
12/10/14,12:30:00,0,0.8471,12.894
12/10/14,12:45:00,0,0.8448,13.173
12/10/14,13:00:00,0,0.8481,13.264
12/10/14,13:15:00,0,0.8485,13.423
12/10/14,13:30:00,0,0.8442,13.63
12/10/14,13:45:00,0,0.8405,13.688
12/10/14,14:00:00,0,0.8367,13.373
12/10/14,14:15:00,0,0.836,13.108
12/10/14,14:30:00,0,0.8369,12.978
12/10/14,14:45:00,0,0.8342,12.885
12/10/14,15:00:00,0,0.8365,12.733
12/10/14,15:15:00,0,0.8355,12.582
12/10/14,15:30:00,0,0.8334,12.473
12/10/14,15:45:00,0,0.8338,12.292
12/10/14,16:00:00,0,0.8258,12.075
12/10/14,16:15:00,0,0.8264,11.836
12/10/14,16:30:00,0,0.8285,11.646
12/10/14,16:45:00,0,0.8272,11.436
12/10/14,17:00:00,0,0.8241,11.18
12/10/14,17:15:00,0,0.8236,10.971
12/10/14,17:30:00,0,0.8209,10.79
12/10/14,17:45:00,0,0.8206,10.666
12/10/14,18:00:00,0,0.8242,10.656
12/10/14,18:15:00,0,0.8249,10.624
12/10/14,18:30:00,0,0.821,10.604
12/10/14,18:45:00,0,0.8207,10.549
12/10/14,19:00:00,0,0.82,10.448
12/10/14,19:15:00,0,0.8148,10.427
12/10/14,19:30:00,0,0.8175,10.463
12/10/14,19:45:00,0,0.8165,10.49
12/10/14,20:00:00,0,0.8158,10.51
12/10/14,20:15:00,0,0.8132,10.543
12/10/14,20:30:00,0,0.8107,10.645
12/10/14,20:45:00,0,0.8078,10.833
12/10/14,21:00:00,0,0.8088,11.19
12/10/14,21:15:00,0,0.8113,11.298
12/10/14,21:30:00,0,0.8078,11.274
12/10/14,21:45:00,0,0.799,11.535
12/10/14,22:00:00,0,0.7993,11.53
12/10/14,22:15:00,0,0.7956,11.494
12/10/14,22:30:00,0,0.7969,11.329
12/10/14,22:45:00,0,0.7942,11.16
12/10/14,23:00:00,0,0.792,11.048
12/10/14,23:15:00,0,0.7881,11.135
