Serial Number
	1023733
Project ID
	CWS
Location
	NFA
Level
	Unit
		m
	Offset
		0.00      m
	Altitude
		360       m
Temperature
	Unit
		Deg C
,Date,Time,100 ms,Level,Temperature
1,2015/08/05,10:45:00,0,1.1206,22.329
2,2015/08/05,11:00:00,0,1.1198,22.458
3,2015/08/05,11:15:00,0,1.1208,22.658
4,2015/08/05,11:30:00,0,1.1216,22.930
5,2015/08/05,11:45:00,0,1.1183,23.262
6,2015/08/05,12:00:00,0,1.1158,23.610
7,2015/08/05,12:15:00,0,1.1139,23.941
8,2015/08/05,12:30:00,0,1.1139,24.244
9,2015/08/05,12:45:00,0,1.1135,24.521
10,2015/08/05,13:00:00,0,1.1119,24.793
11,2015/08/05,13:15:00,0,1.1097,25.035
12,2015/08/05,13:30:00,0,1.1087,25.253
13,2015/08/05,13:45:00,0,1.1070,25.470
14,2015/08/05,14:00:00,0,1.1062,25.664
15,2015/08/05,14:15:00,0,1.1041,25.835
16,2015/08/05,14:30:00,0,1.1047,26.000
17,2015/08/05,14:45:00,0,1.1017,26.112
18,2015/08/05,15:00:00,0,1.0994,26.239
19,2015/08/05,15:15:00,0,1.0990,26.350
20,2015/08/05,15:30:00,0,1.0954,26.441
21,2015/08/05,15:45:00,0,1.0956,26.507
22,2015/08/05,16:00:00,0,1.0921,26.561
23,2015/08/05,16:15:00,0,1.0909,26.608
24,2015/08/05,16:30:00,0,1.0882,26.639
25,2015/08/05,16:45:00,0,1.0872,26.621
26,2015/08/05,17:00:00,0,1.0892,26.601
27,2015/08/05,17:15:00,0,1.0869,26.540
28,2015/08/05,17:30:00,0,1.0862,26.488
29,2015/08/05,17:45:00,0,1.0852,26.390
30,2015/08/05,18:00:00,0,1.0815,26.277
31,2015/08/05,18:15:00,0,1.0847,26.125
32,2015/08/05,18:30:00,0,1.0828,25.889
33,2015/08/05,18:45:00,0,1.0831,25.605
34,2015/08/05,19:00:00,0,1.0843,25.323
35,2015/08/05,19:15:00,0,1.0832,25.106
36,2015/08/05,19:30:00,0,1.0864,24.941
37,2015/08/05,19:45:00,0,1.0852,24.803
38,2015/08/05,20:00:00,0,1.0865,24.679
39,2015/08/05,20:15:00,0,1.0896,24.569
40,2015/08/05,20:30:00,0,1.0882,24.472
41,2015/08/05,20:45:00,0,1.0881,24.372
42,2015/08/05,21:00:00,0,1.0904,24.268
43,2015/08/05,21:15:00,0,1.0923,24.172
44,2015/08/05,21:30:00,0,1.0916,24.080
45,2015/08/05,21:45:00,0,1.0921,23.992
46,2015/08/05,22:00:00,0,1.0929,23.913
47,2015/08/05,22:15:00,0,1.0924,23.837
48,2015/08/05,22:30:00,0,1.0913,23.762
49,2015/08/05,22:45:00,0,1.0902,23.684
50,2015/08/05,23:00:00,0,1.0915,23.604
51,2015/08/05,23:15:00,0,1.0904,23.518
52,2015/08/05,23:30:00,0,1.0916,23.434
53,2015/08/05,23:45:00,0,1.0921,23.350
54,2015/08/06,00:00:00,0,1.0934,23.270
55,2015/08/06,00:15:00,0,1.0942,23.196
56,2015/08/06,00:30:00,0,1.0949,23.122
57,2015/08/06,00:45:00,0,1.0941,23.051
58,2015/08/06,01:00:00,0,1.0947,22.980
59,2015/08/06,01:15:00,0,1.0944,22.912
60,2015/08/06,01:30:00,0,1.0970,22.856
61,2015/08/06,01:45:00,0,1.0952,22.798
62,2015/08/06,02:00:00,0,1.0947,22.740
63,2015/08/06,02:15:00,0,1.0969,22.690
64,2015/08/06,02:30:00,0,1.0952,22.634
65,2015/08/06,02:45:00,0,1.0931,22.578
66,2015/08/06,03:00:00,0,1.0951,22.524
67,2015/08/06,03:15:00,0,1.0947,22.467
68,2015/08/06,03:30:00,0,1.0969,22.411
69,2015/08/06,03:45:00,0,1.0961,22.356
70,2015/08/06,04:00:00,0,1.0960,22.301
71,2015/08/06,04:15:00,0,1.0949,22.244
72,2015/08/06,04:30:00,0,1.0956,22.185
73,2015/08/06,04:45:00,0,1.0950,22.131
74,2015/08/06,05:00:00,0,1.0954,22.072
75,2015/08/06,05:15:00,0,1.0948,22.017
76,2015/08/06,05:30:00,0,1.0941,21.957
77,2015/08/06,05:45:00,0,1.0965,21.903
78,2015/08/06,06:00:00,0,1.0943,21.848
79,2015/08/06,06:15:00,0,1.0957,21.790
80,2015/08/06,06:30:00,0,1.0949,21.741
81,2015/08/06,06:45:00,0,1.0940,21.695
82,2015/08/06,07:00:00,0,1.0930,21.651
83,2015/08/06,07:15:00,0,1.0922,21.617
84,2015/08/06,07:30:00,0,1.0926,21.581
85,2015/08/06,07:45:00,0,1.0909,21.549
86,2015/08/06,08:00:00,0,1.0904,21.525
87,2015/08/06,08:15:00,0,1.0886,21.529
88,2015/08/06,08:30:00,0,1.0890,21.549
89,2015/08/06,08:45:00,0,1.0901,21.618
90,2015/08/06,09:00:00,0,1.0882,21.681
91,2015/08/06,09:15:00,0,1.0875,21.762
92,2015/08/06,09:30:00,0,1.0846,21.805
93,2015/08/06,09:45:00,0,1.0820,21.900
94,2015/08/06,10:00:00,0,1.0827,21.990
95,2015/08/06,10:15:00,0,1.0809,22.050
96,2015/08/06,10:30:00,0,1.0814,22.171
97,2015/08/06,10:45:00,0,1.0793,22.300
98,2015/08/06,11:00:00,0,1.0793,22.445
99,2015/08/06,11:15:00,0,1.0761,22.613
100,2015/08/06,11:30:00,0,1.0757,22.862
101,2015/08/06,11:45:00,0,1.0747,23.059
102,2015/08/06,12:00:00,0,1.0751,23.188
103,2015/08/06,12:15:00,0,1.0769,23.378
104,2015/08/06,12:30:00,0,1.0750,23.576
105,2015/08/06,12:45:00,0,1.0739,23.696
106,2015/08/06,13:00:00,0,1.0716,23.868
