Serial_number:
2021174
Project ID:
UCDavis
Location:
CWS-NFA-Baro
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2017/05/05,09:30:00,0,9.578,21.20
2017/05/05,09:45:00,0,9.819,21.00
2017/05/05,10:00:00,0,9.820,21.40
2017/05/05,10:15:00,0,9.861,22.40
2017/05/05,10:30:00,0,9.858,23.20
2017/05/05,10:45:00,0,9.861,28.20
2017/05/05,11:00:00,0,9.867,24.70
2017/05/05,11:15:00,0,9.866,24.30
2017/05/05,11:30:00,0,9.866,24.20
2017/05/05,11:45:00,0,9.863,24.20
2017/05/05,12:00:00,0,9.864,24.80
2017/05/05,12:15:00,0,9.863,24.90
2017/05/05,12:30:00,0,9.863,24.70
2017/05/05,12:45:00,0,9.860,24.90
2017/05/05,13:00:00,0,9.860,26.20
2017/05/05,13:15:00,0,9.858,26.00
2017/05/05,13:30:00,0,9.856,25.30
2017/05/05,13:45:00,0,9.860,28.20
2017/05/05,14:00:00,0,9.855,27.00
2017/05/05,14:15:00,0,9.854,25.40
2017/05/05,14:30:00,0,9.854,24.80
2017/05/05,14:45:00,0,9.854,27.90
2017/05/05,15:00:00,0,9.854,26.70
2017/05/05,15:15:00,0,9.851,25.90
2017/05/05,15:30:00,0,9.849,24.70
2017/05/05,15:45:00,0,9.848,24.30
2017/05/05,16:00:00,0,9.846,24.60
2017/05/05,16:15:00,0,9.846,24.60
2017/05/05,16:30:00,0,9.843,24.00
2017/05/05,16:45:00,0,9.843,24.00
2017/05/05,17:00:00,0,9.843,23.90
2017/05/05,17:15:00,0,9.841,23.60
2017/05/05,17:30:00,0,9.841,23.40
2017/05/05,17:45:00,0,9.840,23.20
2017/05/05,18:00:00,0,9.841,22.90
2017/05/05,18:15:00,0,9.840,22.50
2017/05/05,18:30:00,0,9.840,22.20
2017/05/05,18:45:00,0,9.841,21.80
2017/05/05,19:00:00,0,9.841,21.50
2017/05/05,19:15:00,0,9.843,21.30
2017/05/05,19:30:00,0,9.845,20.50
2017/05/05,19:45:00,0,9.846,20.20
2017/05/05,20:00:00,0,9.848,20.10
2017/05/05,20:15:00,0,9.849,19.70
2017/05/05,20:30:00,0,9.852,19.50
2017/05/05,20:45:00,0,9.854,18.90
2017/05/05,21:00:00,0,9.855,18.70
2017/05/05,21:15:00,0,9.856,17.80
2017/05/05,21:30:00,0,9.856,17.30
2017/05/05,21:45:00,0,9.856,16.70
2017/05/05,22:00:00,0,9.858,16.10
2017/05/05,22:15:00,0,9.856,15.70
2017/05/05,22:30:00,0,9.855,15.40
2017/05/05,22:45:00,0,9.855,15.40
2017/05/05,23:00:00,0,9.855,14.90
2017/05/05,23:15:00,0,9.856,14.70
2017/05/05,23:30:00,0,9.856,14.50
2017/05/05,23:45:00,0,9.856,14.20
2017/05/06,00:00:00,0,9.856,13.80
2017/05/06,00:15:00,0,9.858,13.20
2017/05/06,00:30:00,0,9.856,13.40
2017/05/06,00:45:00,0,9.855,13.30
2017/05/06,01:00:00,0,9.851,13.10
2017/05/06,01:15:00,0,9.849,12.90
2017/05/06,01:30:00,0,9.845,12.90
2017/05/06,01:45:00,0,9.845,12.70
2017/05/06,02:00:00,0,9.843,12.40
2017/05/06,02:15:00,0,9.843,12.20
2017/05/06,02:30:00,0,9.843,11.90
2017/05/06,02:45:00,0,9.841,11.70
2017/05/06,03:00:00,0,9.841,11.60
2017/05/06,03:15:00,0,9.840,11.30
2017/05/06,03:30:00,0,9.838,11.00
2017/05/06,03:45:00,0,9.837,10.50
2017/05/06,04:00:00,0,9.837,10.60
2017/05/06,04:15:00,0,9.838,10.80
2017/05/06,04:30:00,0,9.838,10.60
2017/05/06,04:45:00,0,9.840,10.60
2017/05/06,05:00:00,0,9.840,10.80
2017/05/06,05:15:00,0,9.840,10.80
2017/05/06,05:30:00,0,9.840,10.70
2017/05/06,05:45:00,0,9.840,10.70
2017/05/06,06:00:00,0,9.841,10.40
2017/05/06,06:15:00,0,9.841,10.50
2017/05/06,06:30:00,0,9.843,10.50
2017/05/06,06:45:00,0,9.843,10.40
2017/05/06,07:00:00,0,9.843,10.30
2017/05/06,07:15:00,0,9.845,10.30
2017/05/06,07:30:00,0,9.845,10.20
2017/05/06,07:45:00,0,9.845,10.40
2017/05/06,08:00:00,0,9.843,10.30
2017/05/06,08:15:00,0,9.841,10.30
2017/05/06,08:30:00,0,9.843,11.00
2017/05/06,08:45:00,0,9.843,11.00
2017/05/06,09:00:00,0,9.843,11.40
2017/05/06,09:15:00,0,9.843,11.60
2017/05/06,09:30:00,0,9.843,12.20
2017/05/06,09:45:00,0,9.841,13.00
2017/05/06,10:00:00,0,9.841,13.70
2017/05/06,10:15:00,0,9.837,14.10
2017/05/06,10:30:00,0,9.837,14.40
2017/05/06,10:45:00,0,9.838,14.60
2017/05/06,11:00:00,0,9.841,14.60
2017/05/06,11:15:00,0,9.838,14.80
2017/05/06,11:30:00,0,9.840,15.20
2017/05/06,11:45:00,0,9.838,15.50
2017/05/06,12:00:00,0,9.837,15.70
2017/05/06,12:15:00,0,9.837,15.70
2017/05/06,12:30:00,0,9.837,15.60
2017/05/06,12:45:00,0,9.837,15.60
2017/05/06,13:00:00,0,9.841,15.80
2017/05/06,13:15:00,0,9.843,15.80
2017/05/06,13:30:00,0,9.841,15.60
2017/05/06,13:45:00,0,9.838,15.30
2017/05/06,14:00:00,0,9.840,15.30
2017/05/06,14:15:00,0,9.840,15.50
2017/05/06,14:30:00,0,9.838,15.70
2017/05/06,14:45:00,0,9.838,15.80
2017/05/06,15:00:00,0,9.835,16.50
