Serial_number:
1023733
Project ID:
CWS
Location:
NFA
Level
UNIT: m
Offset: 0.000000 m
Altitude: 360.000000 m
Density: 1.000000 kg/L
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
2016/06/07,10:30:00,0,0.7427,28.219
2016/06/07,10:45:00,0,1.7545,17.547
2016/06/07,11:00:00,0,1.7563,17.667
2016/06/07,11:15:00,0,1.7527,17.786
2016/06/07,11:30:00,0,1.7536,17.904
2016/06/07,11:45:00,0,1.7479,18.016
2016/06/07,12:00:00,0,1.7463,18.128
2016/06/07,12:15:00,0,1.7501,18.242
2016/06/07,12:30:00,0,1.7461,18.358
2016/06/07,12:45:00,0,1.7402,18.480
2016/06/07,13:00:00,0,1.7437,18.612
2016/06/07,13:15:00,0,1.7415,18.747
2016/06/07,13:30:00,0,1.7353,18.875
2016/06/07,13:45:00,0,1.7344,19.003
2016/06/07,14:00:00,0,1.7291,19.123
2016/06/07,14:15:00,0,1.7233,19.235
2016/06/07,14:30:00,0,1.7293,19.342
2016/06/07,14:45:00,0,1.7243,19.453
2016/06/07,15:00:00,0,1.7256,19.561
2016/06/07,15:15:00,0,1.7173,19.654
2016/06/07,15:30:00,0,1.7212,19.748
2016/06/07,15:45:00,0,1.7167,19.839
2016/06/07,16:00:00,0,1.7122,19.900
2016/06/07,16:15:00,0,1.7115,19.959
2016/06/07,16:30:00,0,1.7100,20.015
2016/06/07,16:45:00,0,1.7147,20.053
2016/06/07,17:00:00,0,1.7062,20.073
2016/06/07,17:15:00,0,1.7063,20.066
2016/06/07,17:30:00,0,1.7071,20.006
2016/06/07,17:45:00,0,1.6992,19.985
2016/06/07,18:00:00,0,1.7000,19.954
2016/06/07,18:15:00,0,1.6974,19.893
2016/06/07,18:30:00,0,1.6983,19.788
2016/06/07,18:45:00,0,1.7005,19.723
2016/06/07,19:00:00,0,1.6923,19.640
2016/06/07,19:15:00,0,1.6994,19.562
2016/06/07,19:30:00,0,1.6959,19.490
2016/06/07,19:45:00,0,1.6947,19.416
2016/06/07,20:00:00,0,1.6958,19.333
2016/06/07,20:15:00,0,1.6920,19.244
2016/06/07,20:30:00,0,1.6870,19.150
2016/06/07,20:45:00,0,1.6931,19.054
2016/06/07,21:00:00,0,1.6961,18.957
2016/06/07,21:15:00,0,1.6966,18.859
2016/06/07,21:30:00,0,1.6948,18.764
2016/06/07,21:45:00,0,1.6981,18.674
2016/06/07,22:00:00,0,1.6979,18.591
2016/06/07,22:15:00,0,1.6976,18.514
2016/06/07,22:30:00,0,1.6990,18.444
2016/06/07,22:45:00,0,1.6938,18.380
2016/06/07,23:00:00,0,1.6910,18.317
2016/06/07,23:15:00,0,1.6913,18.258
2016/06/07,23:30:00,0,1.6912,18.199
2016/06/07,23:45:00,0,1.6918,18.141
2016/06/08,00:00:00,0,1.6875,18.088
2016/06/08,00:15:00,0,1.6941,18.037
2016/06/08,00:30:00,0,1.6879,17.989
2016/06/08,00:45:00,0,1.6877,17.943
2016/06/08,01:00:00,0,1.6907,17.899
2016/06/08,01:15:00,0,1.6888,17.857
2016/06/08,01:30:00,0,1.6924,17.817
2016/06/08,01:45:00,0,1.7001,17.778
2016/06/08,02:00:00,0,1.7044,17.744
2016/06/08,02:15:00,0,1.7033,17.713
2016/06/08,02:30:00,0,1.7099,17.685
2016/06/08,02:45:00,0,1.7155,17.662
2016/06/08,03:00:00,0,1.7230,17.639
2016/06/08,03:15:00,0,1.7277,17.616
2016/06/08,03:30:00,0,1.7328,17.594
2016/06/08,03:45:00,0,1.7446,17.571
2016/06/08,04:00:00,0,1.7565,17.546
2016/06/08,04:15:00,0,1.7590,17.520
2016/06/08,04:30:00,0,1.7677,17.493
2016/06/08,04:45:00,0,1.7712,17.467
2016/06/08,05:00:00,0,1.7752,17.439
2016/06/08,05:15:00,0,1.7805,17.409
2016/06/08,05:30:00,0,1.7834,17.378
2016/06/08,05:45:00,0,1.7881,17.342
2016/06/08,06:00:00,0,1.7850,17.305
2016/06/08,06:15:00,0,1.7949,17.270
2016/06/08,06:30:00,0,1.7868,17.234
2016/06/08,06:45:00,0,1.7913,17.197
2016/06/08,07:00:00,0,1.7908,17.161
2016/06/08,07:15:00,0,1.7925,17.125
2016/06/08,07:30:00,0,1.7925,17.087
2016/06/08,07:45:00,0,1.7840,17.046
2016/06/08,08:00:00,0,1.7882,17.021
2016/06/08,08:15:00,0,1.7878,17.000
2016/06/08,08:30:00,0,1.7862,16.981
2016/06/08,08:45:00,0,1.7792,16.989
2016/06/08,09:00:00,0,1.7697,17.016
2016/06/08,09:15:00,0,1.7649,17.063
2016/06/08,09:30:00,0,1.7683,17.131
2016/06/08,09:45:00,0,1.7632,17.248
2016/06/08,10:00:00,0,1.7604,17.371
2016/06/08,10:15:00,0,1.7514,17.483
2016/06/08,10:30:00,0,1.7535,17.599
2016/06/08,10:45:00,0,1.7487,17.724
2016/06/08,11:00:00,0,1.7434,17.850
2016/06/08,11:15:00,0,1.7468,17.908
2016/06/08,11:30:00,0,1.7397,17.963
2016/06/08,11:45:00,0,1.7428,17.980
2016/06/08,12:00:00,0,1.7439,18.023
2016/06/08,12:15:00,0,1.7345,18.141
2016/06/08,12:30:00,0,1.7357,18.291
2016/06/08,12:45:00,0,1.7365,18.381
2016/06/08,13:00:00,0,1.7342,18.495
2016/06/08,13:15:00,0,1.7318,18.585
2016/06/08,13:30:00,0,1.7230,18.705
2016/06/08,13:45:00,0,1.7167,18.824
2016/06/08,14:00:00,0,1.7206,18.921
2016/06/08,14:15:00,0,1.7169,18.977
2016/06/08,14:30:00,0,1.7144,19.019
2016/06/08,14:45:00,0,1.7164,19.070
2016/06/08,15:00:00,0,1.7136,19.127
2016/06/08,15:15:00,0,1.7122,19.212
