Serial_number:
2053245
Project ID:
CWS UC Davis
Location:
NFY
LEVEL
UNIT: psi
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/08/19,09:15:00,0,13.6554,26.358
2016/08/19,09:30:00,0,13.2000,26.349
2016/08/19,09:45:00,0,13.5267,26.301
2016/08/19,10:00:00,0,13.5404,26.334
2016/08/19,10:15:00,0,13.5386,26.820
2016/08/19,10:30:00,0,13.5364,27.690
2016/08/19,10:45:00,0,13.5283,29.488
2016/08/19,11:00:00,0,13.5306,31.371
2016/08/19,11:15:00,0,13.5310,31.492
2016/08/19,11:30:00,0,13.5296,31.968
2016/08/19,11:45:00,0,13.5276,32.803
2016/08/19,12:00:00,0,13.5096,33.627
2016/08/19,12:15:00,0,13.5053,32.594
2016/08/19,12:30:00,0,13.5022,33.091
2016/08/19,12:45:00,0,13.4999,33.344
2016/08/19,13:00:00,0,13.4991,33.427
2016/08/19,13:15:00,0,13.4990,33.759
2016/08/19,13:30:00,0,13.4980,33.841
2016/08/19,13:45:00,0,13.4986,34.085
2016/08/19,14:00:00,0,13.4954,34.222
2016/08/19,14:15:00,0,13.4950,34.775
2016/08/19,14:30:00,0,13.4950,34.682
2016/08/19,14:45:00,0,13.4956,34.922
2016/08/19,15:00:00,0,13.4901,35.126
2016/08/19,15:15:00,0,13.4839,36.409
2016/08/19,15:30:00,0,13.4876,35.236
2016/08/19,15:45:00,0,13.4794,36.654
2016/08/19,16:00:00,0,13.4846,36.262
2016/08/19,16:15:00,0,13.4848,35.261
2016/08/19,16:30:00,0,13.4849,34.498
2016/08/19,16:45:00,0,13.4861,33.951
2016/08/19,17:00:00,0,13.4865,33.714
2016/08/19,17:15:00,0,13.4873,33.252
2016/08/19,17:30:00,0,13.4859,33.086
2016/08/19,17:45:00,0,13.4891,32.696
2016/08/19,18:00:00,0,13.4933,31.784
2016/08/19,18:15:00,0,13.4947,31.066
2016/08/19,18:30:00,0,13.4966,30.018
2016/08/19,18:45:00,0,13.4993,29.109
2016/08/19,19:00:00,0,13.5009,28.698
2016/08/19,19:15:00,0,13.5047,27.735
2016/08/19,19:30:00,0,13.5068,27.359
2016/08/19,19:45:00,0,13.5097,27.089
2016/08/19,20:00:00,0,13.5133,26.446
2016/08/19,20:15:00,0,13.5155,26.217
2016/08/19,20:30:00,0,13.5175,25.667
2016/08/19,20:45:00,0,13.5203,25.277
2016/08/19,21:00:00,0,13.5247,24.790
2016/08/19,21:15:00,0,13.5280,24.430
2016/08/19,21:30:00,0,13.5314,23.917
2016/08/19,21:45:00,0,13.5332,23.465
2016/08/19,22:00:00,0,13.5345,23.402
2016/08/19,22:15:00,0,13.5354,23.197
2016/08/19,22:30:00,0,13.5360,22.903
2016/08/19,22:45:00,0,13.5388,22.576
2016/08/19,23:00:00,0,13.5392,22.276
2016/08/19,23:15:00,0,13.5404,21.878
2016/08/19,23:30:00,0,13.5427,21.244
2016/08/19,23:45:00,0,13.5443,21.094
2016/08/20,00:00:00,0,13.5451,21.009
2016/08/20,00:15:00,0,13.5452,20.916
2016/08/20,00:30:00,0,13.5452,20.693
2016/08/20,00:45:00,0,13.5446,20.549
2016/08/20,01:00:00,0,13.5462,20.438
2016/08/20,01:15:00,0,13.5461,20.259
2016/08/20,01:30:00,0,13.5461,20.095
2016/08/20,01:45:00,0,13.5459,19.820
2016/08/20,02:00:00,0,13.5477,19.560
2016/08/20,02:15:00,0,13.5477,19.368
2016/08/20,02:30:00,0,13.5483,19.101
2016/08/20,02:45:00,0,13.5483,18.778
2016/08/20,03:00:00,0,13.5475,18.752
2016/08/20,03:15:00,0,13.5489,18.692
2016/08/20,03:30:00,0,13.5479,18.337
2016/08/20,03:45:00,0,13.5472,18.209
2016/08/20,04:00:00,0,13.5465,18.050
2016/08/20,04:15:00,0,13.5466,18.066
2016/08/20,04:30:00,0,13.5455,17.960
2016/08/20,04:45:00,0,13.5462,17.566
2016/08/20,05:00:00,0,13.5473,17.606
2016/08/20,05:15:00,0,13.5480,17.379
2016/08/20,05:30:00,0,13.5474,17.306
2016/08/20,05:45:00,0,13.5482,17.272
2016/08/20,06:00:00,0,13.5487,17.169
2016/08/20,06:15:00,0,13.5487,17.049
2016/08/20,06:30:00,0,13.5492,17.040
2016/08/20,06:45:00,0,13.5528,17.006
2016/08/20,07:00:00,0,13.5526,16.892
2016/08/20,07:15:00,0,13.5537,17.033
2016/08/20,07:30:00,0,13.5542,17.128
2016/08/20,07:45:00,0,13.5547,17.307
2016/08/20,08:00:00,0,13.5556,17.744
2016/08/20,08:15:00,0,13.5550,18.963
2016/08/20,08:30:00,0,13.5540,20.275
2016/08/20,08:45:00,0,13.5514,23.927
2016/08/20,09:00:00,0,13.5519,25.009
2016/08/20,09:15:00,0,13.5471,26.637
2016/08/20,09:30:00,0,13.5458,26.997
2016/08/20,09:45:00,0,13.5444,26.316
2016/08/20,10:00:00,0,13.5398,28.684
2016/08/20,10:15:00,0,13.5409,28.010
2016/08/20,10:30:00,0,13.5393,26.707
2016/08/20,10:45:00,0,13.5376,26.851
2016/08/20,11:00:00,0,13.5360,27.159
2016/08/20,11:15:00,0,13.5332,28.037
2016/08/20,11:30:00,0,13.5320,28.984
2016/08/20,11:45:00,0,13.5282,29.246
2016/08/20,12:00:00,0,13.5226,30.854
2016/08/20,12:15:00,0,13.5181,32.251
2016/08/20,12:30:00,0,13.5154,33.119
2016/08/20,12:45:00,0,13.5126,33.531
2016/08/20,13:00:00,0,13.5112,33.677
