Site,Year,WYT,Time,REG,obs_strt,estim_strt,missData,totalEM
NFA,2009,D,12:00,U,6/5/09,5/21/09,Y,14
MFY,2009,D,12:00,R,6/2/09,5/21/09,Y,24
RUB,2009,D,12:00,R,5/21/09,5/15/09,Y,26
RUB,2011,W,12:00,R,5/31/11,5/26/11,N,2
NFA,2011,W,12:00,U,7/13/11,6/30/11,N,21
NFY,2011,W,12:00,U,,6/30/11,Y,NA
RUB,2011,W,12:00,R,7/12/11,6/28/11,N,3
MFY,2011,W,12:00,R,7/18/11,7/1/11,N,13
RUB,2012,D,12:00,R,5/21/12,5/1/12,N,20
SFY,2012,D,12:00,R,,5/1/12,Y,NA
MFY,2012,D,12:00,R,5/23/12,5/16/12,Y,2
NFY,2012,D,12:00,U,6/5/12,5/20/12,N,11
NFA,2012,D,12:00,U,5/25/12,5/18/12,N,18
NFA,2013,D,12:00,U,5/10/13,5/10/13,N,27
RUB,2013,D,12:00,R,4/30/13,4/30/13,N,13
NFY,2013,D,12:00,U,5/13/13,5/13/13,N,8
SFY,2013,D,12:00,R,5/16/13,5/1/13,N,6
NFA,2014,D,12:00,U,5/8/14,5/7/14,N,31
RUB,2014,D,12:00,R,5/6/14,5/6/14,N,21
NFY,2014,D,12:00,U,5/12/14,5/8/14,N,17
SFY,2014,D,12:00,R,5/13/14,5/6/14,N,4
SFY,2015,D,12:00,R,,5/1/15,Y,NA
NFA,2015,D,12:00,U,5/1/15,5/1/15,N,30
RUB,2015,D,12:00,R,4/28/15,4/28/15,N,13
NFY,2015,D,12:00,U,5/8/15,5/5/15,N,21
NFA,2016,D,12:00,U,5/25/16,5/25/16,N,28
NFY,2016,D,12:00,U,5/31/16,5/26/16,N,15
RUB,2016,D,12:00,R,6/3/16,5/20/16,Y,6
SFY,2016,D,12:00,R,6/1/16,5/25/16,N,8
MFA,2016,D,12:00,R,5/13/16,5/7/16,N,2
