river,localsite,surv_date,amphib_spp,total_obs,stage,stage_id,sex,gosner,water_temp,book
NFA,Indian Ck,2012-07-31,RABO,2,T,T,,,NA,
NFA,Mainstem,2012-08-08,RABO,3,Y,Y,,,NA,
NFY,Mainstem,2012-07-11,RABO,1,J,J,U,,NA,8
NFY,Mainstem,2012-07-11,RABO,1,T,T,,,NA,8
NFY,Mainstem,2012-07-11,RABO,100,T,T,,,NA,8
SFY,Mainstem,2012-07-12,RABO,3,T,T,,,22.0,
SFY,Mainstem,2012-07-12,RABO,1,T,T,,,NA,
SFY,Mainstem,2012-07-12,RABO,10,T,T,,,NA,
NFA,Shirttail Ck,2012-08-01,RABO,5,Y,Y,,44-46,NA,8
NFA,Shirttail Ck,2012-08-01,RABO,2,A,A,F,,NA,8
NFA,Mainstem,2011-05-04,RABO,1,A,A,F,,NA,2
NFY,Mainstem,2011-05-10,RABO,1,A,A,F,,NA,2
SFY,Mainstem,2011-05-11,RABO,1,A,A,F,,11.0,2
SFY,Mainstem,2011-05-11,RABO,1,J,J,U,,NA,2
SFY,Mainstem,2011-05-11,RABO,1,A,A,F,,12.2,2
SFY,Mainstem,2011-05-11,RABO,1,J,J,U,,12.2,2
SFY,Mainstem,2011-05-11,RABO,6,J,J,U,,18.0,2
SFY,Mainstem,2011-05-11,RABO,1,J,J,U,,14.6,2
MFY,Mainstem,2011-05-12,RABO,2,A,A,M,,NA,2
MFY,Mainstem,2011-05-12,RABO,1,A,A,U,,NA,2
RUB,US Site,2011-05-16,RABO,1,J,J,U,,NA,2
RUB,US Ralston,2011-05-31,RABO,1,E,E,,,10.1,3
RUB,DS Site,2011-05-31,RABO,1,A,A,M,,10.6,2
RUB,US Site,2011-05-31,RABO,1,A,A,F,,NA,2
RUB,US Site,2011-05-31,RABO,1,A,A,F,,NA,2
RUB,US Site,2011-05-31,RABO,3,A,A,M,,NA,2
RUB,US Site,2011-05-31,RABO,1,E,E,,,NA,2
RUB,US Site,2011-05-31,RABO,1,E,E,,,NA,2
RUB,US Ralston,2011-06-06,RABO,1,E,E,,,10.6,3
RUB,US Ralston,2011-06-06,RABO,1,A,A,M,,10.6,3
MFY,Mainstem,2011-06-07,RABO,1,A,A,F,,7.7,3
MFY,Mainstem,2011-06-07,RABO,1,A,A,F,,NA,3
MFY,Mainstem,2011-06-07,RABO,1,J,J,U,,NA,3
MFY,Mainstem,2011-06-07,RABO,1,A,A,U,,NA,3
MFY,Mainstem,2011-06-07,RABO,1,A,A,M,,NA,3
MFY,Mainstem,2011-06-07,RABO,1,A,A,U,,NA,3
SFY,Mainstem,2011-06-09,RABO,4,J,J,U,,NA,3
SFY,Mainstem,2011-06-09,RABO,1,A,A,U,,NA,3
SFY,Mainstem,2011-06-09,RABO,1,J,J,U,,NA,3
NFA,Robbers Rav,2011-06-13,RABO,2,A,A,U,,22.0,1
NFA,Mainstem,2011-06-13,RABO,2,A,A,M,,NA,1
NFA,Mainstem,2011-06-13,RABO,1,A,A,F,,NA,1
NFA,Mainstem,2011-06-13,RABO,3,A,A,M,,NA,1
NFA,Mainstem,2011-06-13,RABO,2,A,A,M,,NA,1
NFA,Mainstem,2011-06-13,RABO,1,A,A,F,,NA,1
NFA,Mainstem,2011-06-13,RABO,1,J,J,U,,NA,1
NFA,Mainstem,2011-06-14,RABO,1,A,A,F,,NA,2
NFA,Mainstem,2011-06-14,RABO,3,J,J,U,,NA,2
NFA,Mainstem,2011-06-14,RABO,1,A,A,F,,NA,2
