site,date,REG,DOY,WY,DOWY,M_DAY,lev_avg,lev_CV,temp_avg,temp_min,temp_max,temp_CV,lev_7_avg,temp_7_avg,temp_7_max,temp_7_min,temp_30_max,temp_30_min,days_no_ppt,obs_strt,missData,totalEM,Q_cfs,Q_CV,Q_min,Q_max,Q_7_cfs,Q_7_CV,len_km,EM_per_km,OVIPOSITION
MFA,2011-03-01,R,60,2011,152,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1330.75,0.32510689855761615,1314,1332,1331.886904761906,7.5933295733460815,0.5,NA,0
MFA,2011-03-02,R,61,2011,153,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361,5.107326402867384,1246,1477,1352.1011904761915,7.068019901210009,0.5,NA,0
MFA,2011-03-03,R,62,2011,154,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2128.1666666666665,16.47365901329067,1503,2597,1484.9285714285725,8.465883928482626,0.5,NA,0
MFA,2011-03-04,R,63,2011,155,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200.4166666666665,10.13107148200749,1713,2625,1609.136904761906,6.389092912533754,0.5,NA,0
MFA,2011-03-05,R,64,2011,156,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877.5416666666667,28.900832874887474,1593,4144,1663.4940476190488,9.793764731831173,0.5,NA,0
MFA,2011-03-06,R,65,2011,157,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1869.25,10.279361559163412,1580,2193,1732.2500000000011,10.620142147583119,0.5,NA,0
MFA,2011-03-07,R,66,2011,158,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2869.9166666666665,21.54979638740597,1409,3628,1948.1488095238108,13.252450659740003,0.5,NA,0
MFA,2011-03-08,R,67,2011,159,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2709.5416666666665,9.238147455794557,2403,3147,2145.1190476190486,14.525742167916707,0.5,NA,0
MFA,2011-03-09,R,68,2011,160,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2276.25,8.683766765936513,1802,2476,2275.8690476190486,15.036662219783725,0.5,NA,0
MFA,2011-03-10,R,69,2011,161,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2128.1666666666665,15.047021239243508,1040,2288,2275.8690476190486,14.832856823491275,0.5,NA,0
