site,year,wyt,county,sierra_coast,trib,trib_name,reg,em_obs_total,surv_dist_km,egg_per_km,obs_strt,obs_end,estim_strt,estim_end,source_notes,notes
ALAM,1917,AN,ALAMEDA,C,N,NA,U,NA,NA,NA,1917-03-28,1917-04-09,1917-03-28,1917-04-09,Storer 1925,NA
ALAM,1923,BN,ALAMEDA,C,N,NA,U,NA,NA,NA,1923-05-05,NA,1923-05-05,NA,Storer 1925,NA
SFEEL,1990,C,MENDOCINO,C,N,NA,U,NA,NA,NA,1990-04-24,1990-05-13,1990-04-24,1990-05-13,Kupferberg_etal2012,NA
SFEEL,1991,C,MENDOCINO,C,N,NA,U,NA,NA,NA,1991-04-24,NA,1991-04-24,NA,Kupferberg_etal2012,NA
TRINITY,1991,C,TRINITY,C,N,NA,R,NA,NA,NA,1991-05-01,1991-06-10,1991-05-01,1991-06-10,Lindetal1997_1991-1994,NA
SFEEL,1992,C,MENDOCINO,C,N,NA,U,NA,NA,NA,1992-04-25,NA,1992-04-25,NA,Kupferberg_etal2012,NA
BUTTE-CLEA,1992,C,BUTTE,S,Y,Clear Creek,U,NA,NA,NA,1992-04-26,1992-05-10,1992-04-26,1992-05-10,VanWagner2008,NA
BUTTE-CLEA,1993,AN,BUTTE,S,Y,Clear Creek,U,NA,NA,NA,1993-04-14,1993-05-15,1993-04-14,1993-05-15,VanWagner2008,NA
SFEEL,1993,AN,MENDOCINO,C,N,NA,U,NA,NA,NA,1993-04-30,NA,1993-04-30,NA,Kupferberg_etal2012,NA
STAN-HUNT,1993,AN,TUOLUMNE,S,Y,Hunter Creek,U,NA,NA,NA,1993-07-13,NA,1993-07-01,NA,Stan_USFS-HunterCk,NA
SFEEL,1994,C,MENDOCINO,C,N,NA,U,NA,NA,NA,1994-04-11,NA,1994-04-11,NA,Kupferberg_etal2012,NA
BUTTE-CLEA,1994,C,BUTTE,S,Y,Clear Creek,U,NA,NA,NA,1994-04-16,1994-05-12,1994-04-16,1994-05-12,VanWagner2008,NA
SFEEL,1995,W,MENDOCINO,C,N,NA,U,NA,NA,NA,1995-05-03,NA,1995-05-03,NA,Kupferberg_etal2012,NA
SFEEL,1996,W,MENDOCINO,C,N,NA,U,NA,NA,NA,1996-04-28,NA,1996-04-28,NA,Kupferberg_etal2012,NA
SFEEL,1997,W,MENDOCINO,C,N,NA,U,NA,NA,NA,1997-04-24,NA,1997-04-24,NA,Kupferberg_etal2012,NA
SFEEL,1998,W,MENDOCINO,C,N,NA,U,NA,NA,NA,1998-04-27,NA,1998-04-27,NA,Kupferberg_etal2012,NA
SFEEL,1999,W,MENDOCINO,C,N,NA,U,NA,NA,NA,1999-04-22,NA,1999-04-22,NA,Kupferberg_etal2012,NA
SFEEL,2000,AN,MENDOCINO,C,N,NA,U,NA,NA,NA,2000-05-08,NA,2000-05-08,NA,Kupferberg_etal2012,NA
SFEEL,2001,D,MENDOCINO,C,N,NA,U,NA,NA,NA,2001-04-19,NA,2001-04-19,NA,Kupferberg_etal2012,NA
COS-CAMP,2001,D,AMADOR,S,Y,Camp Creek,U,NA,NA,NA,2001-05-15,2001-07-13,2001-05-15,2001-07-13,ElDorado_USFS,NA
STAN-ROSE,2001,D,TUOLUMNE,S,Y,Rose Creek,U,NA,NA,NA,2001-05-17,2001-05-23,2001-05-17,2001-05-23,Stan_USFS-RoseCk,NA
TUO-NFTU,2001,D,TUOLUMNE,S,Y,NF Tuolumne,R,NA,NA,NA,2001-05-31,NA,2001-05-31,NA,Stan_USFS,NA
TUO-CLAV,2001,D,TUOLUMNE,S,Y,Clavey,R,NA,NA,NA,2001-06-18,NA,2001-06-18,NA,Stan_USFS,NA
ALAM,2002,D,ALAMEDA,C,N,NA,R,NA,NA,NA,2002-03-25,NA,2002-03-25,NA,Kupferberg_2012,NA
SMITH-HURD,2002,D,DELNORTE,C,Y,Hurdygurdy Creek,U,NA,NA,NA,2002-04-07,2002-06-17,2002-04-07,2002-06-17,Wheeler&Welsh_2002-2007,NA
SFEEL,2002,D,MENDOCINO,C,N,NA,U,NA,NA,NA,2002-04-17,NA,2002-04-17,NA,Kupferberg_etal2012,NA
NFMOK,2002,D,AMADOR,S,N,NA,R,NA,NA,NA,2002-05-15,2002-07-13,2002-05-15,2002-07-13,ElDorado_USFS,NA
SFEEL,2003,AN,MENDOCINO,C,N,NA,U,NA,NA,NA,2003-05-13,NA,2003-05-13,NA,Kupferberg_etal2012,NA
NFMOK,2003,AN,AMADOR,S,N,NA,R,NA,NA,NA,2003-05-15,2003-07-13,2003-05-15,2003-07-13,ElDorado_USFS,NA
SFA,2003,AN,ELDORADO,S,N,NA,R,NA,NA,NA,2003-06-11,2003-06-25,2003-06-11,2003-06-25,Stillwater-SMUD,NA
MOK,2003,AN,AMADOR,S,N,NA,R,NA,NA,NA,2003-07-08,NA,2003-07-08,NA,ElDorado_USFS,NA
COYOTE,2004,BN,SANTACLARA,C,N,NA,U,NA,NA,NA,2004-03-07,2004-04-20,2004-03-07,2004-04-20,Gonsolin 2010,NA
SFEEL,2004,BN,MENDOCINO,C,N,NA,U,NA,NA,NA,2004-04-15,NA,2004-04-15,NA,Kupferberg_etal2012,NA
NFF,2004,BN,BUTTE,S,N,NA,R,NA,NA,NA,2004-04-18,NA,2004-04-18,NA,Poe-Cresta from GANDA-PCWA2008,NA
SFA,2004,BN,ELDORADO,S,N,NA,R,NA,NA,NA,2004-05-15,2004-07-13,2004-05-15,2004-07-13,ElDorado_USFS,NA
SFF,2004,BN,BUTTE,S,N,NA,R,NA,NA,NA,2004-05-27,2004-06-17,2004-05-27,2004-06-17,Stillwater-SFWP,NA
COYOTE,2005,AN,SANTACLARA,C,N,NA,U,NA,NA,NA,2005-03-12,2005-05-16,2005-03-12,2005-05-16,Gonsolin 2010,NA
SFEEL,2005,AN,MENDOCINO,C,N,NA,U,NA,NA,NA,2005-04-28,NA,2005-04-28,NA,Kupferberg_etal2012,NA
ALAM,2005,AN,ALAMEDA,C,N,NA,R,NA,NA,NA,2005-05-01,NA,2005-05-01,NA,CEC-2009_Kupferberg,NA
MOK,2005,AN,AMADOR,S,N,NA,R,NA,NA,NA,2005-05-31,2005-06-30,2005-05-31,2005-06-30,ElDorado_USFS,NA
SFF,2005,AN,BUTTE,S,N,NA,R,NA,NA,NA,2005-06-01,2005-06-22,2005-06-01,2005-06-22,Stillwater-SFWP,NA
STAN-ROSE,2005,AN,TUOLUMNE,S,Y,Rose Creek,U,NA,NA,NA,2005-06-01,NA,2005-06-01,NA,Stan_USFS-RoseCk,NA
COYOTE,2006,W,SANTACLARA,C,N,NA,U,NA,NA,NA,2006-03-09,NA,2006-03-09,NA,Gonsolin 2010,NA
ALAM,2006,W,ALAMEDA,C,N,NA,R,NA,NA,NA,2006-04-17,NA,2006-04-17,NA,Kupferberg_2012,NA
SFEEL,2006,W,MENDOCINO,C,N,NA,U,NA,NA,NA,2006-04-29,NA,2006-04-29,NA,Kupferberg_etal2012,NA
BUTTE,2006,W,BUTTE,S,N,NA,R,NA,NA,NA,2006-06-05,2006-06-30,2006-06-05,2006-06-30,Stillwater-DeSabla,NA
NFF,2006,W,BUTTE,S,N,NA,R,NA,NA,NA,2006-06-05,NA,2006-06-05,NA,Cresta-PG&E,NA
SFEEL,2007,D,MENDOCINO,C,N,NA,U,NA,NA,NA,2007-04-01,NA,2007-04-01,NA,Kupferberg_etal2012,NA
PIT,2007,D,SHASTA,S,N,NA,R,NA,NA,NA,2007-04-02,NA,2007-04-02,NA,Pit PCWA 2007,NA
NFA-SHIR,2008,C,PLACER,S,Y,Shirttail Creek,U,10,0.2,50,2008-05-19,NA,2007-05-05,NA,PCWA,NA
RUB-01.2,2007,D,PLACER,S,N,NA,R,25,0.2,125,2007-05-22,NA,2007-05-08,NA,PCWA,NA
RUB-14.3,2007,D,PLACER,S,N,NA,R,24,0.2,120,2007-05-30,NA,2007-05-09,NA,PCWA,NA
RUB-LONG,2007,D,PLACER,S,N,NA,R,19,0.2,95,2007-05-25,NA,2007-05-09,NA,PCWA,NA
MFA-TODD,2007,D,PLACER,S,Y,Todd Creek,R,1,0.1,10,2007-05-17,NA,2007-05-10,NA,PCWA,NA
MFA-GASC,2007,D,PLACER,S,Y,Gas Canyon,R,4,0.1,40,2007-05-17,NA,2007-05-10,NA,PCWA,NA
MFA-OTTE,2007,D,PLACER,S,Y,Otter Creek,R,12,0.25,48,2007-05-21,NA,2007-05-10,NA,PCWA,NA
NFA-SHIR,2007,D,PLACER,S,Y,Shirttail Creek,U,16,0.25,64,2007-05-18,NA,2007-05-11,NA,PCWA,NA
NFF,2007,D,BUTTE,S,N,NA,R,NA,NA,NA,2007-05-12,NA,2007-05-12,NA,Cresta from GANDA-PCWA2008,NA
NFMFA,2007,D,PLACER,S,N,NA,U,9,0.4,22.5,2007-05-23,NA,2007-05-15,NA,PCWA,NA
NFMFA-CONF,2007,D,PLACER,S,N,at confluence,U,2,0.3,6.666666666666667,2007-05-23,NA,2007-05-15,NA,PCWA,NA
NFA,2007,D,PLACER,S,N,NA,U,3,0.9,3.333333333333333,2007-06-04,NA,2007-05-27,NA,PCWA,NA
MFA-RALS,2007,D,PLACER,S,N,Above Ralston,R,2,0.35,5.714285714285714,2007-06-07,NA,2007-05-30,NA,PCWA,NA
SFEEL,2008,C,MENDOCINO,C,N,NA,U,NA,NA,NA,2008-04-13,NA,2008-04-13,NA,Kupferberg_etal2012,NA
MFA-OTTE,2008,C,PLACER,S,Y,Otter Creek,R,7,0.2,35,2008-05-19,NA,2008-05-01,NA,PCWA,NA
RUB-LONG,2008,C,PLACER,S,N,Long Canyon,R,9,0.2,45,2008-05-20,NA,2008-05-07,NA,PCWA,NA
MCCLD,2008,C,SHASTA,S,N,NA,R,NA,NA,NA,2008-05-08,2008-05-28,2008-05-08,2008-05-28,Stillwater-McCloud,NA
BEAR,2008,C,NEVADA,S,N,NA,R,NA,NA,NA,2008-05-20,2008-06-24,2008-05-20,2008-06-24,Yuba-Bear,NA
MFA-RALS,2008,C,PLACER,S,N,Above Ralston,R,3,0.35,8.571428571428571,2008-05-30,2008-06-11,2008-05-21,NA,PCWA,NA
SFEEL,2009,D,MENDOCINO,C,N,NA,U,NA,NA,NA,2009-04-12,NA,2009-04-12,NA,Kupferberg_etal2012,NA
NFF,2009,D,BUTTE,S,N,NA,R,50,0.4,125,2009-05-12,2009-06-19,2009-04-25,2009-06-19,Bondi,NA
MFA-GASC,2009,D,PLACER,S,Y,Gas Canyon,R,NA,NA,NA,2009-05-01,NA,2009-05-01,NA,Peek_estim,NA
MFA-AMER,2009,D,PLACER,S,Y,American Canyon,R,NA,NA,NA,2009-05-01,NA,2009-05-01,NA,Peek_estim,NA
